"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2329","checkFilling","","Wed Jun 18 14:03:21 MSK 2025","passed","Wed Jun 18 14:03:23 MSK 2025","","site.stellarburgers.nomoreparties.tests.SwitchToPersonaFieldsTest","site.stellarburgers.nomoreparties.tests.SwitchToPersonaFieldsTest","checkFilling"
"","2068","checkSectionSauce","","Wed Jun 18 14:03:19 MSK 2025","passed","Wed Jun 18 14:03:21 MSK 2025","","site.stellarburgers.nomoreparties.tests.SwitchToPersonaFieldsTest","site.stellarburgers.nomoreparties.tests.SwitchToPersonaFieldsTest","checkSectionSauce"
"","5393","testLoginCabinet","","Wed Jun 18 14:03:42 MSK 2025","passed","Wed Jun 18 14:03:47 MSK 2025","","site.stellarburgers.nomoreparties.tests.TransitionsTest","site.stellarburgers.nomoreparties.tests.TransitionsTest","testLoginCabinet"
"","7557","testLogoutPersonalAccount","","Wed Jun 18 14:03:08 MSK 2025","passed","Wed Jun 18 14:03:16 MSK 2025","","site.stellarburgers.nomoreparties.tests.LogoutTest","site.stellarburgers.nomoreparties.tests.LogoutTest","testLogoutPersonalAccount"
"","5286","testGoToCabinetAndToConstructor","","Wed Jun 18 14:03:36 MSK 2025","passed","Wed Jun 18 14:03:42 MSK 2025","","site.stellarburgers.nomoreparties.tests.TransitionsTest","site.stellarburgers.nomoreparties.tests.TransitionsTest","testGoToCabinetAndToConstructor"
"","3018","registrationWithValidPassword","","Wed Jun 18 14:03:16 MSK 2025","passed","Wed Jun 18 14:03:19 MSK 2025","","site.stellarburgers.nomoreparties.tests.SuccessfulRegistrationTest","site.stellarburgers.nomoreparties.tests.SuccessfulRegistrationTest","registrationWithValidPassword"
"","5521","testGoToCabinet","","Wed Jun 18 14:03:31 MSK 2025","passed","Wed Jun 18 14:03:36 MSK 2025","","site.stellarburgers.nomoreparties.tests.TransitionsTest","site.stellarburgers.nomoreparties.tests.TransitionsTest","testGoToCabinet"
"","4739","testLoginButtonEnterAccount","","Wed Jun 18 14:03:26 MSK 2025","passed","Wed Jun 18 14:03:31 MSK 2025","","site.stellarburgers.nomoreparties.tests.TransitionsTest","site.stellarburgers.nomoreparties.tests.TransitionsTest","testLoginButtonEnterAccount"
"","2751","checkSectionBuns","","Wed Jun 18 14:03:23 MSK 2025","passed","Wed Jun 18 14:03:26 MSK 2025","","site.stellarburgers.nomoreparties.tests.SwitchToPersonaFieldsTest","site.stellarburgers.nomoreparties.tests.SwitchToPersonaFieldsTest","checkSectionBuns"
"","4452","testLoginRecoverPassword","","Wed Jun 18 14:03:50 MSK 2025","passed","Wed Jun 18 14:03:55 MSK 2025","","site.stellarburgers.nomoreparties.tests.TransitionsTest","site.stellarburgers.nomoreparties.tests.TransitionsTest","testLoginRecoverPassword"
"","3367","testLoginRegistration","","Wed Jun 18 14:03:47 MSK 2025","passed","Wed Jun 18 14:03:50 MSK 2025","","site.stellarburgers.nomoreparties.tests.TransitionsTest","site.stellarburgers.nomoreparties.tests.TransitionsTest","testLoginRegistration"
"","3537","registrationWithValidPassword","","Wed Jun 18 14:03:05 MSK 2025","passed","Wed Jun 18 14:03:08 MSK 2025","","site.stellarburgers.nomoreparties.tests.InvalidPasswordTest","site.stellarburgers.nomoreparties.tests.InvalidPasswordTest","registrationWithValidPassword"
